comparison,half_life,group
OS_vs_Ctrl,9.376230021,group_1
OS_vs_Ctrl,9.360781933,group_1
OS_vs_Ctrl,9.360781933,group_1
OS_vs_Ctrl,9.330037966,group_1
OS_vs_Ctrl,9.318560979,group_1
OS_vs_Ctrl,9.314741588,group_1
OS_vs_Ctrl,9.30330218,group_1
OS_vs_Ctrl,9.299495285,group_1
OS_vs_Ctrl,9.295629173,group_1
OS_vs_Ctrl,9.291890834,group_1
OS_vs_Ctrl,9.26915192,group_1
OS_vs_Ctrl,9.26915192,group_1
OS_vs_Ctrl,9.26915192,group_1
OS_vs_Ctrl,9.269089944,group_1
OS_vs_Ctrl,9.265310991,group_1
OS_vs_Ctrl,9.261596993,group_1
OS_vs_Ctrl,9.257762322,group_1
OS_vs_Ctrl,9.239005926,group_1
OS_vs_Ctrl,9.208933034,group_1
OS_vs_Ctrl,9.208933034,group_1
OS_vs_Ctrl,9.186597844,group_1
OS_vs_Ctrl,9.171828492,group_1
OS_vs_Ctrl,9.164431319,group_1
OS_vs_Ctrl,9.164370735,group_1
OS_vs_Ctrl,9.164370735,group_1
OS_vs_Ctrl,9.164370735,group_1
OS_vs_Ctrl,9.153297466,group_1
OS_vs_Ctrl,9.142250924,group_1
OS_vs_Ctrl,9.120237636,group_1
OS_vs_Ctrl,9.120237636,group_1
OS_vs_Ctrl,9.094629411,group_1
OS_vs_Ctrl,9.092899475,group_1
OS_vs_Ctrl,9.091050962,group_1
OS_vs_Ctrl,9.076527565,group_1
OS_vs_Ctrl,9.076468138,group_1
OS_vs_Ctrl,9.062050498,group_1
OS_vs_Ctrl,9.047560491,group_1
OS_vs_Ctrl,9.036767539,group_1
OS_vs_Ctrl,9.018895069,group_1
OS_vs_Ctrl,9.015258702,group_1
OS_vs_Ctrl,9.004484146,group_1
OS_vs_Ctrl,9.004484146,group_1
OS_vs_Ctrl,8.997354334,group_1
OS_vs_Ctrl,8.990235805,group_1
OS_vs_Ctrl,8.961873973,group_1
OS_vs_Ctrl,8.940719756,group_1
OS_vs_Ctrl,8.92667234,group_1
OS_vs_Ctrl,8.905626577,group_1
OS_vs_Ctrl,8.888268573,group_1
OS_vs_Ctrl,8.8778521,group_1
OS_vs_Ctrl,8.864001388,group_1
OS_vs_Ctrl,8.857092227,group_1
OS_vs_Ctrl,8.843249754,group_1
OS_vs_Ctrl,8.836429216,group_1
OS_vs_Ctrl,8.836429216,group_1
OS_vs_Ctrl,8.822707354,group_1
OS_vs_Ctrl,8.822707354,group_1
