ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q8VEM8,ctrl,20.09296984,1.303044132,P11152,iso,1.478099096,1.303044132,0.169703551,P53395,CaNrf2-TG,31.01190911,1.491528502
Q8R404,ctrl,20.05750277,1.302276861,Q9CZ83,iso,1.478099096,1.302276861,0.169703551,Q8CHT0,CaNrf2-TG,31.01190911,1.491528502
Q9D6J5,ctrl,19.99126629,1.300840304,Q9DBN5,iso,1.478099096,1.300840304,0.169703551,Q9WTP6,CaNrf2-TG,30.99041784,1.491227432
P47934,ctrl,19.98694292,1.300746372,Q9QXC1,iso,1.481181832,1.300746372,0.170608376,Q791V5,CaNrf2-TG,30.96964817,1.490936272
Q8VD26,ctrl,19.95184884,1.299983146,Q148W8,iso,1.482731198,1.299983146,0.171062426,Q9JIY5,CaNrf2-TG,30.84355362,1.489164409
P12787,ctrl,19.91687778,1.299221258,Q8VCG4,iso,1.490514087,1.299221258,0.173336085,P03888,CaNrf2-TG,30.8428674,1.489154747
Q8R1S0,ctrl,19.89943818,1.298840815,O35841,iso,1.513557285,1.298840815,0.179998863,Q9Z108,CaNrf2-TG,30.63498544,1.486217678
P11688,ctrl,19.89915254,1.298834581,P46412,iso,1.51436579,1.298834581,0.18023079,Q8R4N0,CaNrf2-TG,30.55328854,1.485057962
Q9Z2Z6,ctrl,19.89058714,1.298647603,A2AGT5,iso,1.532345252,1.298647603,0.185356627,P50171,CaNrf2-TG,30.51226749,1.484474483
Q505D7,ctrl,19.88174396,1.298454477,O35074,iso,1.532345252,1.298454477,0.185356627,Q9Z1P6,CaNrf2-TG,30.47068668,1.483882241
Q9DCM0,ctrl,19.85583032,1.297888053,Q8CBA2,iso,1.535662068,1.297888053,0.186295657,Q99LC5,CaNrf2-TG,30.43055495,1.483309872
P03921,ctrl,19.82970049,1.297316155,P54823,iso,1.541498607,1.297316155,0.187943137,Q8BXV2,CaNrf2-TG,30.43055495,1.483309872
Q99LY9,ctrl,19.77821094,1.296187004,Q61207,iso,1.569621436,1.296187004,0.195794921,Q99MN9,CaNrf2-TG,30.26843583,1.480989979
Q9D7B6,ctrl,19.77821094,1.296187004,Q8VCI5,iso,1.578347711,1.296187004,0.198202685,Q9DB20,CaNrf2-TG,30.26777496,1.480980496
Q9ERS2,ctrl,19.76918546,1.295988776,Q61187,iso,1.590728414,1.295988776,0.201596039,Q8VEM8,CaNrf2-TG,30.2281756,1.480411936
Q99LC5,ctrl,19.67519211,1.293918982,Q5DTJ9,iso,1.596094614,1.293918982,0.203058632,Q9D0S9,CaNrf2-TG,30.22751649,1.480402467
Q8QZS1,ctrl,19.65817302,1.293543153,Q8K4B0,iso,1.596094614,1.293543153,0.203058632,Q62425,CaNrf2-TG,30.06754785,1.478098011
Q9DCS3,ctrl,19.64090506,1.293161496,Q8VHY0,iso,1.597890174,1.293161496,0.203546926,P43024,CaNrf2-TG,30.06754785,1.478098011
Q8R164,ctrl,19.624223,1.29279247,Q7M6Y3,iso,1.599689778,1.29279247,0.20403577,Q3TC72,CaNrf2-TG,29.94803113,1.476368276
Q8R1I1,ctrl,19.55667355,1.291294986,Q80WJ7,iso,1.599689778,1.291294986,0.20403577,Q8VE95,CaNrf2-TG,29.88927279,1.475515349
Q9Z1P6,ctrl,19.53958337,1.290915299,Q8VH51,iso,1.599689778,1.290915299,0.20403577,Q1W617,CaNrf2-TG,29.79163951,1.474094404
P54071,ctrl,19.50604138,1.290169141,Q7TPW1,iso,1.610580593,1.290169141,0.206982462,Q8R1S0,CaNrf2-TG,29.67493709,1.472389807
Q9DCS9,ctrl,19.44775558,1.288869488,Q8K182,iso,1.612408913,1.288869488,0.20747519,Q64433,CaNrf2-TG,29.55914542,1.470691874
Q8K370,ctrl,19.17684827,1.282777232,Q9JHJ0,iso,1.6160818,1.282777232,0.208463339,Q9DCS9,CaNrf2-TG,29.4818247,1.46955436
Q9CR62,ctrl,19.16041521,1.282404916,P26262,iso,1.6234723,1.282404916,0.210444883,P35486,CaNrf2-TG,29.40553116,1.468429029
