uniprot,group,half_life,log_10_HL
Q8K4Z3,ctrl,10.03499458,1.001517142
Q63918,ctrl,10.03492194,1.001513998
Q9D880,ctrl,10.03049289,1.001322274
Q99N94,ctrl,10.02164651,1.00093908
P62301,ctrl,9.995200735,0.999791521
P42232,ctrl,9.986416467,0.999409674
Q9WUA2,ctrl,9.951433256,0.997885635
P61971,ctrl,9.934033401,0.997125616
Q9R111,ctrl,9.925356271,0.996746105
O35639,ctrl,9.916694287,0.996366925
P04117,ctrl,9.916694287,0.996366925
P00329,ctrl,9.907976594,0.995984972
Q9Z2W0,ctrl,9.864897822,0.994092591
O35972,ctrl,9.856340996,0.99371572
P47963,ctrl,9.847799002,0.993339176
Q8R1G2,ctrl,9.839271801,0.992962958
P21550,ctrl,9.813778572,0.991836255
Q60854,ctrl,9.813778572,0.991836255
Q9CQ92,ctrl,9.803160679,0.991366121
Q9D1B9,ctrl,9.796856351,0.99108674
P62075,ctrl,9.788417106,0.990712467
Q9JHU2,ctrl,9.72974706,0.98810155
Q8C1A5,ctrl,9.721422989,0.98772984
Q9JKS4,ctrl,9.721422989,0.98772984
P17182,ctrl,9.713113149,0.987358448
Q62165,ctrl,9.696536016,0.986616615
Q91XD6,ctrl,9.696536016,0.986616615
Q3ULJ0,ctrl,9.66348356,0.985133712
P51855,ctrl,9.638824961,0.984024094
Q9DB60,ctrl,9.638824961,0.984024094
Q9D6Y7,ctrl,9.622567008,0.983290944
P49817,ctrl,9.622500216,0.98328793
Q3UGR5,ctrl,9.614358562,0.982920315
Q9R112,ctrl,9.606230675,0.982553011
Q9D7A8,ctrl,9.598116518,0.982186018
Q3URE1,ctrl,9.581929258,0.98145296
P21981,ctrl,9.557816379,0.980358683
Q9Z1J3,ctrl,9.557750483,0.980355689
Q924M7,ctrl,9.517722556,0.978533041
Q3URS9,ctrl,9.501805104,0.977806118
Q99N84,ctrl,9.485940805,0.97708041
O55222,ctrl,9.440528184,0.974996293
Q8R104,ctrl,9.438664169,0.974910534
Q8BGY7,ctrl,9.430702194,0.974544031
Q05793,ctrl,9.422881737,0.97418374
Q9D1I6,ctrl,9.422881737,0.97418374
Q9JKL4,ctrl,9.415074239,0.973823749
Q9CY16,ctrl,9.399497994,0.97310466
Q80X85,ctrl,9.391792809,0.972748503
P12367,ctrl,9.391729182,0.972745561
P97443,ctrl,9.383973202,0.972386759
Q8CC35,ctrl,9.376230021,0.972028253
Q9D009,ctrl,9.376230021,0.972028253
Q59J78,ctrl,9.360781933,0.971312128
Q9ER88,ctrl,9.360781933,0.971312128
Q99KR7,ctrl,9.330037966,0.969883411
Q8VDT9,ctrl,9.318560979,0.969348851
P19123,ctrl,9.314741588,0.969170811
Q9CY73,ctrl,9.30330218,0.968637127
P16858,ctrl,9.299495285,0.968459379
Q9CZ30,ctrl,9.295629173,0.96827879
P14148,ctrl,9.291890834,0.968104099
O35857,ctrl,9.26915192,0.96704
P42925,ctrl,9.26915192,0.96704
