ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q9CQ19,ctrl,3.702570847,0.568503377,Q3TMH2,iso,8.047405531,0.905655887
Q8BHL8,ctrl,3.691744501,0.567231637,Q8VDK1,iso,8.047405531,0.905655887
Q5H8C4,ctrl,3.683348109,0.566242765,Q8K354,iso,8.053108799,0.905963567
O70310,ctrl,3.676198253,0.565398924,Q6P9R2,iso,8.070314193,0.906890443
Q8BG95,ctrl,3.673830868,0.565119159,Q8BWM0,iso,8.081746832,0.907505242
O08547,ctrl,3.6690761,0.56455672,Q9D1I6,iso,8.081746832,0.907505242
Q3U0M1,ctrl,3.6690761,0.56455672,Q6PB66,iso,8.081793947,0.907507774
P70704,ctrl,3.66434331,0.563996156,P48771,iso,8.08754608,0.907816768
Q3V009,ctrl,3.636181931,0.560645604,P14115,iso,8.099074945,0.908435418
Q99L47,ctrl,3.630373333,0.559951288,Q9CPR5,iso,8.107790606,0.908902524
Q78ZA7,ctrl,3.619955037,0.558703176,P58389,iso,8.116430004,0.909365048
Q6PA06,ctrl,3.617650074,0.558426556,O35350,iso,8.116477524,0.90936759
P49813,ctrl,3.613039524,0.557872712,P62071,iso,8.122279152,0.909677912
P26638,ctrl,3.608450104,0.557320705,P38647,iso,8.139733907,0.910610208
Q9D2R6,ctrl,3.605015684,0.556907158,Q3U0B3,iso,8.142602502,0.910763234
O55022,ctrl,3.601587794,0.556494006,P47963,iso,8.151412148,0.911232852
Q9JM76,ctrl,3.601587794,0.556494006,Q8K215,iso,8.151412148,0.911232852
Q9Z0Y1,ctrl,3.600446613,0.556356376,Q8R104,iso,8.168992476,0.912168496
Q6PB44,ctrl,3.599306154,0.556218789,Q62234,iso,8.174869449,0.912480826
Q8C6K9,ctrl,3.599306154,0.556218789,Q8BJ71,iso,8.174869449,0.912480826
Q6ZPE2,ctrl,3.594751535,0.555668878,O08739,iso,8.1866488,0.91310616
P18242,ctrl,3.585658243,0.554568894,P62301,iso,8.1866488,0.91310616
Q9QYJ0,ctrl,3.585658243,0.554568894,P62242,iso,8.189598943,0.913262634
Q9Z126,ctrl,3.585658243,0.554568894,Q91VS7,iso,8.192551214,0.913419165
P24270,ctrl,3.574379157,0.553200619,O09167,iso,8.198462146,0.913732396
P35441,ctrl,3.563170809,0.551836642,A3KMP2,iso,8.207344553,0.914202666
Q8K0D5,ctrl,3.560937569,0.55156436,P47962,iso,8.222191414,0.914987583
P10107,ctrl,3.559821998,0.551428282,Q8C0M9,iso,8.222191414,0.914987583
