mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
C57,3.900966765,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,5.44101466,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,5.985933716,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,12.55974452,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,24.34658168,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,23.38158815,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,10.8550181,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,11.65736933,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,26.3679384,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,21.429478,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,22.1290164,ISO,,,,,,,,,,,,,,,,,,,,,,,
C57,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,24.28176209,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.42060061,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.31439071,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,16.40623874,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,15.74654537,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,21.78920141,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,5.504313422,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,18.03473957,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,5.420251488,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.29498198,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,20.38128673,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.06555292,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.83762077,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.82998414,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,1.747371132,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,5.504313422,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,4.52236353,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,5.938979283,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,20.89712479,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,13.89685193,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,44.23967198,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,17.79444922,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
